#               time       E_Anisotropy              E_DMI            E_Demag  E_UniformExchange            E_total                m_x                m_y                m_z            m_error          real_time          rhs_evals               step 
#                <s>                <J>                <J>                <J>                <J>                <J>                 <>                 <>                 <>                 <>                <s>                 <>                 <> 
             9.7e-10  4.71604919523e-18 -1.06152733729e-17  4.11316392566e-18  5.89222195011e-18  4.10616169815e-18 -1.02356394965e-16 -1.82724206136e-17   -0.0108923663105  1.85629289717e-13      1678581412.45              15127                 97 
             9.8e-10  4.71708956459e-18 -1.06147803644e-17  4.11230766793e-18  5.89154004735e-18  4.10615691545e-18 -1.17036010513e-17 -1.79910099164e-17   -0.0110929600651    4.733990977e-13      1678581413.16              15224                 98 
             9.9e-10  4.71805706485e-18 -1.06145451012e-17  4.11148771182e-18  5.89115251469e-18  4.10615219019e-18 -2.64217660097e-16 -1.35501178179e-17   -0.0112770183034  4.13225009765e-13       1678581413.9              15321                 99 
               1e-09  4.71888782486e-18 -1.06146629615e-17  4.11075167423e-18  5.89117112331e-18  4.10614766088e-18 -4.06619182769e-17  6.63049861929e-19   -0.0114302013514  3.88578058619e-13       1678581414.5              15418                100 
            1.01e-09  4.71956133003e-18 -1.06151038957e-17  4.11011888154e-18  5.89156711671e-18  4.10614343261e-18 -2.19099429957e-16 -5.10779690149e-18    -0.011548554087  3.98678867697e-11      1678581415.21              15577                101 
            1.02e-09  4.72009440956e-18 -1.06157368683e-17  4.10958389369e-18  5.89219815226e-18  4.10613958725e-18 -5.15020125312e-18   3.0916627283e-18    -0.011637301263  7.47713002625e-12      1678581416.18              15758                102 
            1.03e-09  4.72052131602e-18 -1.06163889068e-17  4.10912964327e-18  5.89287412925e-18  4.10613618171e-18  6.14015011675e-17 -7.78890840714e-18   -0.0117056042522  5.50270939925e-12      1678581416.94              15942                103 
            1.04e-09  4.72087251332e-18 -1.06169087749e-17  4.10874118973e-18  5.89342830373e-18  4.10613323187e-18   1.1527815739e-16  7.04297731247e-18   -0.0117610607014  1.19524390385e-11      1678581417.61              16103                104 
            1.05e-09  4.72116246727e-18  -1.0617209437e-17  4.10841295144e-18   5.8937647223e-18  4.10613070405e-18  3.71153725038e-17  3.87228829249e-18   -0.0118069522795  8.62554472292e-12      1678581418.37              16268                105 
            1.06e-09  4.72138812304e-18 -1.06172803828e-17  4.10814878842e-18  5.89387199538e-18    4.106128524e-18  9.15317204747e-17 -2.66183680036e-18   -0.0118424163291  3.27982085935e-12      1678581419.09              16433                106 
            1.07e-09   4.7215335945e-18 -1.06171755303e-17  4.10795867889e-18  5.89380985458e-18  4.10612659768e-18  -3.8133076943e-17  1.82916953189e-18   -0.0118638726514  5.64770452627e-12      1678581419.77              16603                107 
            1.08e-09  4.72157670974e-18  -1.0616987026e-17  4.10785511705e-18  5.89368002815e-18  4.10612482894e-18 -1.54413519008e-16  4.16333634234e-18   -0.0118663999174  6.90514312396e-12      1678581420.38              16733                108 
            1.09e-09  4.72149614642e-18 -1.06168134627e-17  4.10784956289e-18  5.89359088085e-18  4.10612312747e-18 -1.37235901655e-16  3.57353036051e-18   -0.0118450371275  1.81032966395e-12      1678581421.13              16914                109 
             1.1e-09  4.72127903534e-18 -1.06167297199e-17   4.1079482961e-18  5.89362380065e-18  4.10612141216e-18 -1.46919513592e-16 -6.69410514674e-18    -0.011796407639   1.5204060233e-11      1678581421.71              17034                110 
            1.11e-09  4.72092727826e-18  -1.0616766313e-17  4.10814850693e-18  5.89381014387e-18  4.10611961604e-18 -1.08262164665e-16 -1.13990607077e-17   -0.0117203643274  1.39133149446e-12      1678581422.48              17234                111 
            1.12e-09  4.72045948784e-18 -1.06169049963e-17  4.10843685631e-18  5.89412634583e-18  4.10611769373e-18  -2.2173620964e-17 -1.42883390305e-17   -0.0116206890241   6.3615779311e-13      1678581423.16              17365                112 
            1.13e-09  4.71990695645e-18 -1.06170917681e-17  4.10879190185e-18  5.89450853525e-18  4.10611562549e-18 -2.48982933036e-16 -1.32995466492e-17   -0.0115042153147   5.3110849052e-12      1678581423.88              17472                113 
            1.14e-09  4.71930545392e-18 -1.06172608489e-17  4.10918934232e-18  5.89487946776e-18  4.10611341509e-18 -1.01940061331e-16 -2.00187089128e-17   -0.0113787947091  9.51527745485e-12      1678581424.65              17652                114 
            1.15e-09  4.71868689242e-18 -1.06173589564e-17  4.10960734286e-18  5.89517580431e-18   4.1061110832e-18 -5.76699182236e-17 -1.63237479089e-17   -0.0112512449008  4.60431692773e-12      1678581425.59              17846                115 
            1.16e-09  4.71807422768e-18 -1.06173609099e-17  4.11002966228e-18  5.89536568055e-18  4.10610866062e-18  1.76602559737e-16 -1.57011749281e-17   -0.0111262058479  6.11999340094e-12      1678581426.47              18038                116 
            1.17e-09  4.71748045197e-18 -1.06172731974e-17  4.11044612502e-18  5.89545280407e-18   4.1061061837e-18 -3.98755103011e-17 -2.50802465216e-17   -0.0110060498413  2.03681516098e-12      1678581429.65              18232                117 
